path	verdict	model_ids	evidence	confidence
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/ERG750/ERG-750W Service Manual.pdf	new-machine	erg750w-2025	Cover p.1 "ERG-750W WATER ROWING MACHINE SERVICE MANUAL", 26 pages of part-replacement procedures, no printed date, PDF created 2026-03-23. The ERG750W owner manual filed at Spirit Owners Manuals/Rowers/ERG750/ERG750W_OM_20251112.pdf is XTERRA-branded (ERG750W_175926_OM_20250409, (c)2025), so the machine is Xterra, generation 2025.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/ERG800W/ERG800W_R80_service manual_V1.0.pdf	new-machine	erg800w-2025	Cover p.1 "SERVICE MANUAL ERG800W", 39 pages; p.39 "Version 1.0 2025/8/11: Initial release". XTERRA rower line; "R80" in the filename is unexplained.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Rowers/XRW600/XRW600 (DW400-YR002)_Service Manual.pdf	existing	xrw600-2019	Cover p.1 "DW400-YR002 Service Manual", PDF created 2019-06-18; battery LCD console; xrw600-2019 (OM (c) 2018, Feb 4 2019) with xrw600-2021 its 97.2% reprint.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Strength/i-Strength Maintenance Manual.pdf	existing	csi-cpsp,csi-lrow	Cover p.1 "Digital Resistance Module Maintenance Manual", 26 pages (disassembly, cables, block diagram, motor/controller specs, troubleshooting), WPS export created 2025-09-05, no model name and no date printed. Filed as i-Strength; the CSI i-Strength owner manuals (csi-cpsp, csi-lrow) list "Resistance Module" as part 72 of the machine, so this documents that module.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/40T/ST8700-ST017 (CT4000)  Service Manual - 740885 4.0T.pdf	existing	40t-2026	Cover p.1 "ST8700-ST017-01 Service Manual", 54 pages, PDF created 2019-10-29; AC-motor inverter treadmill. Filename SKU 740885 = 40t-2026 in model-numbers.csv and the 4.0T OM itself prints ST8700; 18% phrase overlap with that OM against 5% for the 7.0T. The manual predates the 2026 OM by six years and the filename calls it CT4000.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/70T/DYACO 7.0T (MT8000-ST021) Service Manual.pdf	existing	mt200-2022	Cover p.1 "7.0T(MT8000-ST021-02) Service Manual", Ver 1.3, PDF created 2021-04-12; AC inverter treadmill with E20-E29 error family. Its parts list and calibration text sit in the MT200 OMs (24.5% of phrases in mt200-2010, 19.8% in mt200-2022) but only 3% in the 7.0T 2026 OM: the 2021 Dyaco 7.0T is the Spirit MT200, not the 2026 7.0T (770885). mt200-2022 by date; mt200-2010 shares the parts list.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/70T/E27 Error Troubleshooting on a 7.0T.pdf	not-a-manual		Outlook print-to-PDF, no text layer; OCR: "FW: 7.0T - Model 770844", email of 3/12/2025 from Spirit Fitness explaining the E27 encoder error on the 7.0T (check console-bracket and motor-cover wiring, encoder LEDs). An email support note.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT1000/CT1000_ ST8880-ST018-01_service manual.pdf	new-machine	ct1000-2023	Cover p.1 "SERVICE MANUAL CT1000(2023) ST8880-ST018 ENT Treadmill", 34 pages, PDF created 2023-05-15. No CT1000 id in kb.yaml.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT800/CT800 800845 Service Manual.pdf	existing	ct800-2016	Cover p.1 "ST8000B-YT09 Treadmill Service Manual (AC 120V)", PDF created 2015-09-09; filename SKU 800845 = ct800-2016 in model-numbers.csv; 54% of its phrases are in the CT850 2016 service manual, its sibling.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT800/CT800 Service Manual.pdf	existing	ct800-2020	Cover p.1 "CT800(2020) Service Manual" (20 repeats), PDF created 2021-11-18; 90% similar to the ingested CT850(2020) manual. ct800-2020 = CT800_800840 OM and the MODEL-table 2020 SKU.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT800ENT/CT800ENT Service Manual.pdf	existing	ct800ent-2022	Cover p.1 "CT800 ENT 2020 ver. Service Manual", PDF created 2021-12-06, inverter codes ST8600-YT057/YT058, HDMI/A-V Source ENT menus. ct800ent-2022 (CT800ENT_800852_OM) is the pre-New-Black CT800ENT; the MODEL table also has a CT8x0ENT 2020 SKU (x51) with no OM on disk.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT850/CT850 850845 Service Manual.pdf	already-ingested	ct850-2016	Same filename as manifest origin_uri of spirit-treadmill-ct850-2016-service-manual; 98.6% of its 8-word phrases are in that text.md.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT850/CT850 Service Manual.pdf	already-ingested	ct850-2020	Same filename as manifest origin_uri of spirit-treadmill-ct850-2020-service-manual; 98.0% of its 8-word phrases are in that text.md.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT850ENT/CT850ENT Service Manual.pdf	existing	ct850ent-2022	Cover p.1 "CT850 ENT 2020 ver. Service Manual", PDF created 2021-12-06, ST8600-YT057/YT058 inverters, HDMI ENT menus; 92% similar to doc 79. ct850ent-2022 (CT850ENT_850852_OM) is the pre-New-Black CT850ENT; the MODEL table names "CT850ENT 2020" as 850851 with no OM on disk.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT900/CT900 900846 Service Manual - Error Codes & Troubleshooting Guide.pdf	existing	ct900	Cover p.1 "8. ST8800-ST006 Error Messages / Troubleshooting", 22 pages, lightpdf.com export 2018-09-18: chapter 8 of the CT900 service manual cut out - 98.4% of its phrases are in doc 84. Filename SKU 900846 is the earlier CT900 SKU (ct900 = 900825). A duplicate excerpt; ingest doc 84 instead.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT900/CT900 Service Manual.pdf	existing	ct900	Cover p.1 "CT900 Service Manual", 77 pages, PDF created 2021-11-23, factory code ST8800-ST006 (doc 83); E1-E9 error family, EMS. ct900 is the single CT900 id, though its OM is the 2025 New Black print (900825) and this manual is the earlier CT900 (900846).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CT900ENT/CT900ENT Service Manual.pdf	existing	ct900ent	Cover p.1 "CT900 ENT Service Manual", 79 pages, PDF created 2021-11-23, Android/HDMI console; the only CT900ENT id (OM rev 11/2021).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/CTSB900/CTSBS900_PS040081-20-01_SM.pdf	existing	ctsbs900	Cover p.1 "SERVICE MANUAL CTSBS900 PS040081-20-01 SLAT-BELT TREADMILL", 31 pages, PDF created 2026-07-15; the only CTSBS900 id.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/MT200/Error_Codes_MT200_English.pdf	not-a-manual		Four pages, 410 words: "Error Codes List MT200 - English", E1 Over Current ... through the E2x codes with one-line checks, Adobe PDF Library export 2024-09-19. An error-code leaflet for the MT200 (mt200-2022), not a manual.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT175/XT175-275-375-475-675.pdf	multi-machine	xt175-2008,xt275-2008,xt375-2008,xt475-2008,xt675-2008	Cover p.1 "SERVICE MANUAL XT175 XT275 XT375 XT475 XT675", 37-page Spirit Manufacturing Inc. dealer manual (troubleshooting, warranty per model p.12, exploded views), Distiller 5 PDF created 2008-09-12, no printed date. None of the five is in kb.yaml (xt685-2010 is the XT675 successor); -2008 is the PDF creation date, the only date evidence.	unsure
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT185/2015/XT185 (185815) Service Manual.pdf	existing	xt185-2015	Cover p.1 "XT185 Treadmill Service Manual", 86 pages, PDF created 2021-11-24, no year printed; blue-LCD console with E0-E7 codes. The 2023 XT185 has its own manual (doc 90, XT126-YT072, "(2023)"), so this is the earlier generation; filename SKU 185815 = xt185-2015.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT185/2023/XT185 (185823) Service Manual.pdf	existing	xt185-2023	Cover p.1 "SERVICE MANUAL XT185(2023) XT126-YT072 Treadmill"; filename SKU 185823 = xt185-2023.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT285/XT285 (285815) Service Manual.pdf	existing	xt285-2015	Cover p.1 "XT285 Treadmill Service Manual", PDF created 2021-11-24, no year; 89% similar to doc 89. Filename SKU 285815 = xt285-2015; the 2023 XT285 is doc 92.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT285/XT285 (285823) Service Manual.pdf	existing	xt285-2023	Cover p.1 "SERVICE MANUAL XT285(2023) XT136-YT073 Treadmill"; filename SKU 285823 = xt285-2023; 98.7% the same text as doc 90.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT385/XT385 (385815) Service Manual.pdf	existing	xt385-2015	Cover p.1 "XT385 Treadmill Service Manual", PDF created 2021-11-24, 7.5" LCD, "Special Note on XT385 CE version"; filename SKU 385815 = xt385-2015. 99.2% the same text as doc 95 apart from the model name and 9" display.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT385/XT385 (385823) Service Manual.pdf	existing	xt385-2023	Cover p.1 "SERVICE MANUAL XT385(2023) XT626-NT074 Treadmill"; filename SKU 385823 = xt385-2023. Body is word-identical to doc 96 (XT485 2023) - only the cover model and factory code differ.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT485/XT485 (485815) Service Manual.pdf	existing	xt485-2015	Cover p.1 "XT485 Treadmill Service Manual", PDF created 2021-11-24, 9" LCD; filename SKU 485815 = xt485-2015; 99.2% the same text as doc 93.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT485/XT485 (485823) Service Manual.pdf	existing	xt485-2023	Cover p.1 "SERVICE MANUAL XT485(2023) XT626-NT075 Treadmill" (also prints XT626-YT075 once); filename SKU 485823 = xt485-2023. Body word-identical to doc 94.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT485ENT/XT485/XT485ENT Service Manual.pdf	existing	xt485ent-2023	Cover p.1 "XT485 ENT Service Manual", 80 pages, PDF created 2021-11-18, 10.1" touch console, E0-E9 codes; the only XT485ENT id, whose OM file is XT485ENT_485850_OM_20210416 (April 2021, despite the 2023 in the id).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT685/XT685 (685823) Service Manual.pdf	existing	xt685-2023	Cover p.1 "SERVICE MANUAL XT685(2023) XT816-YT076 Treadmill"; filename SKU 685823 = xt685-2023.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/Treadmills/XT685ENT/XT685ENT Service Manual.pdf	existing	xt685ent-2023	Cover p.1 "SERVICE MANUAL XT685(ENT)(2023) XT816-NT052 ENT Treadmill", 52 pages, 15.6" console, PDF created 2023-12-05; xt685ent-2023 is the only XT685ENT id.	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/_ENT_Tips_/ENT Support - Bluetooth Pairing.pdf	already-ingested	*	Same filename as manifest origin_uri of spirit-ent-console-bluetooth-pairing-tip; page prints "Revision: 04.14.2021" as the manifest title says; 92% of its vocabulary is in that text.md (a curated text source).	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/_ENT_Tips_/ENT Support - Connecting to the Internet.pdf	already-ingested	*	Same filename as manifest origin_uri of spirit-ent-console-internet-connection-tip; page prints "Revision: 07.01.2024".	certain
/mnt/HDD/Downloads/Spirit Folder/Spirit Service Manuals/_ENT_Tips_/ENT Support - Screen Mirroring.pdf	already-ingested	*	Same filename as manifest origin_uri of spirit-ent-console-screen-mirroring-tip; page prints "Revision: 07.01.2024".	certain
